kategorie,frage,option_1,option_2,option_3,option_4,richtige_antwort,erklaerung
Datenbank,Was ist ein Unique Constraint?,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte NULL sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte identisch sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte gleich sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Unique Constraint stellt sicher dass alle Werte in einer bestimmten Spalte oder einer Kombination von Spalten einzigartig sind.
Datenbank,Was ist ein Clustered Index?,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Index der keine physische Reihenfolge hat,Ein temporärer Index,Ein zusätzlicher Datensatz,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Clustered Index bestimmt die physische Reihenfolge der Daten in der Tabelle und ist in der Regel der Primärschlüssel.
Datenbank,Was ist eine Datenbanktransaktion?,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine Datenbanktransaktion ist eine Abfolge von Operationen die entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was ist der Unterschied zwischen UNION und UNION ALL in SQL?,UNION entfernt Duplikate UNION ALL behält alle Duplikate,UNION behält alle Duplikate UNION ALL entfernt Duplikate,Es gibt keinen Unterschied,UNION entfernt NULL-Werte UNION ALL behält NULL-Werte,UNION entfernt Duplikate UNION ALL behält alle Duplikate,UNION kombiniert die Ergebnisse zweier Abfragen und entfernt Duplikate während UNION ALL alle Ergebnisse einschließlich Duplikaten kombiniert.
Datenbank,Was ist eine Datenbankansicht?,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine permanente Tabelle,Ein temporärer Datensatz,Eine zusätzliche Datenbank,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine Datenbankansicht ist eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert und keine eigenen Daten speichert.
Datenbank,Was ist ein Trigger in einer Datenbank?,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein Trigger ist ein gespeichertes SQL-Skript das automatisch ausgeführt wird wenn bestimmte Ereignisse in der Datenbank eintreten.
Datenbank,Was ist ein Datenbank-Snapshot?,Ein Abbild des aktuellen Zustands der Datenbank,Ein Backup der Datenbank,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Abbild des aktuellen Zustands der Datenbank,Ein Datenbank-Snapshot ist ein Abbild des aktuellen Zustands der Datenbank zu einem bestimmten Zeitpunkt.
Datenbank,Was ist eine Transaktion in einer Datenbank?,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine Transaktion ist eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet und entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was bedeutet die Abkürzung OLAP?,Online Analytical Processing,Online Access Processing,Online Active Processing,Online Analysis Processing,Online Analytical Processing,OLAP steht für Online Analytical Processing und bezeichnet Systeme zur Unterstützung von Analyse- und Abfragevorgängen.
Datenbank,Was ist ein Unique Constraint?,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte NULL sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte identisch sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte gleich sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Unique Constraint stellt sicher dass alle Werte in einer bestimmten Spalte oder einer Kombination von Spalten einzigartig sind.
Datenbank,Was ist ein Rollback in einer Datenbank?,Das Zurücksetzen von Änderungen,Das Bestätigen von Änderungen,Das Löschen von Daten,Das Einfügen von Daten,Das Zurücksetzen von Änderungen,Ein Rollback setzt Änderungen in einer Datenbank zurück und stellt den vorherigen Zustand wieder her.
Datenbank,Was ist ein Commit in einer Datenbank?,Das Bestätigen von Änderungen,Das Zurücksetzen von Änderungen,Das Löschen von Daten,Das Einfügen von Daten,Das Bestätigen von Änderungen,Ein Commit bestätigt alle Änderungen die während einer Transaktion vorgenommen wurden.
Datenbank,Was bedeutet die Abkürzung ERD?,Entity Relationship Diagram,Entity Resource Diagram,Entity Relationship Database,Entity Resource Database,Entity Relationship Diagram,ERD steht für Entity Relationship Diagram und ist eine grafische Darstellung der Beziehungen zwischen Entitäten in einer Datenbank.
Datenbank,Was ist eine Subquery?,Eine Abfrage innerhalb einer anderen Abfrage,Eine Abfrage außerhalb einer anderen Abfrage,Eine Abfrage die keine Bedingungen hat,Eine Abfrage die Daten löscht,Eine Abfrage innerhalb einer anderen Abfrage,Eine Subquery ist eine Abfrage die innerhalb einer anderen Abfrage verschachtelt ist.
Datenbank,Was ist ein Schema in einer Datenbank?,Eine Struktur die die Organisation von Daten beschreibt,Ein SQL-Befehl,Ein Datenbank-Benutzer,Ein Backup der Datenbank,Eine Struktur die die Organisation von Daten beschreibt,Ein Schema beschreibt die Struktur und die Organisation der Daten in einer Datenbank.
Datenbank,Was ist ein Composite Key?,Ein Schlüssel der aus mehr als einer Spalte besteht,Ein Schlüssel der aus einer einzigen Spalte besteht,Ein temporärer Schlüssel,Ein Fremdschlüssel,Ein Schlüssel der aus mehr als einer Spalte besteht,Ein Composite Key ist ein Schlüssel der aus mehr als einer Spalte besteht und zur eindeutigen Identifizierung eines Datensatzes verwendet wird.
Datenbank,Was ist ein Cursor in SQL?,Ein Mechanismus zum Durchlaufen von Datensätzen,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein Mechanismus zum Durchlaufen von Datensätzen,Ein Cursor ist ein Mechanismus in SQL der verwendet wird um Datensätze einer Abfrage einzeln zu durchlaufen.
Datenbank,Was bedeutet die Abkürzung XML?,Extensible Markup Language,Executable Markup Language,Extended Markup Language,Exponential Markup Language,Extensible Markup Language,XML steht für Extensible Markup Language und wird verwendet um strukturierte Daten zu speichern und zu transportieren.
Datenbank,Was ist ein Sekundärindex?,Ein zusätzlicher Index der nicht der Primärindex ist,Der Primärindex,Ein Fremdschlüssel,Ein temporärer Index,Ein zusätzlicher Index der nicht der Primärindex ist,Ein Sekundärindex ist ein zusätzlicher Index der zur Indizierung und zum schnellen Zugriff auf Daten verwendet wird aber nicht der Primärindex ist.
Datenbank,Was ist ein Unique Constraint?,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte NULL sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte identisch sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte gleich sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Unique Constraint stellt sicher dass alle Werte in einer bestimmten Spalte oder einer Kombination von Spalten einzigartig sind.
Datenbank,Was ist ein Clustered Index?,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Index der keine physische Reihenfolge hat,Ein temporärer Index,Ein zusätzlicher Datensatz,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Clustered Index bestimmt die physische Reihenfolge der Daten in der Tabelle und ist in der Regel der Primärschlüssel.
Datenbank,Was ist eine Datenbanktransaktion?,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine Datenbanktransaktion ist eine Abfolge von Operationen die entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was ist eine Datenbankansicht?,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine permanente Tabelle,Ein temporärer Datensatz,Eine zusätzliche Datenbank,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine Datenbankansicht ist eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert und keine eigenen Daten speichert.
Datenbank,Was ist ein Trigger in einer Datenbank?,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein Trigger ist ein gespeichertes SQL-Skript das automatisch ausgeführt wird wenn bestimmte Ereignisse in der Datenbank eintreten.
Datenbank,Was ist ein Datenbank-Snapshot?,Ein Abbild des aktuellen Zustands der Datenbank,Ein Backup der Datenbank,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Abbild des aktuellen Zustands der Datenbank,Ein Datenbank-Snapshot ist ein Abbild des aktuellen Zustands der Datenbank zu einem bestimmten Zeitpunkt.
Datenbank,Was ist eine Transaktion in einer Datenbank?,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine Transaktion ist eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet und entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was bedeutet die Abkürzung OLAP?,Online Analytical Processing,Online Access Processing,Online Active Processing,Online Analysis Processing,Online Analytical Processing,OLAP steht für Online Analytical Processing und bezeichnet Systeme zur Unterstützung von Analyse- und Abfragevorgängen.
Datenbank,Was ist ein Rollback in einer Datenbank?,Das Zurücksetzen von Änderungen,Das Bestätigen von Änderungen,Das Löschen von Daten,Das Einfügen von Daten,Das Zurücksetzen von Änderungen,Ein Rollback setzt Änderungen in einer Datenbank zurück und stellt den vorherigen Zustand wieder her.
Datenbank,Was ist ein Commit in einer Datenbank?,Das Bestätigen von Änderungen,Das Zurücksetzen von Änderungen,Das Löschen von Daten,Das Einfügen von Daten,Das Bestätigen von Änderungen,Ein Commit bestätigt alle Änderungen die während einer Transaktion vorgenommen wurden.
Datenbank,Was bedeutet die Abkürzung ERD?,Entity Relationship Diagram,Entity Resource Diagram,Entity Relationship Database,Entity Resource Database,Entity Relationship Diagram,ERD steht für Entity Relationship Diagram und ist eine grafische Darstellung der Beziehungen zwischen Entitäten in einer Datenbank.
Datenbank,Was ist eine Subquery?,Eine Abfrage innerhalb einer anderen Abfrage,Eine Abfrage außerhalb einer anderen Abfrage,Eine Abfrage die keine Bedingungen hat,Eine Abfrage die Daten löscht,Eine Abfrage innerhalb einer anderen Abfrage,Eine Subquery ist eine Abfrage die innerhalb einer anderen Abfrage verschachtelt ist.
Datenbank,Was ist ein Schema in einer Datenbank?,Eine Struktur die die Organisation von Daten beschreibt,Ein SQL-Befehl,Ein Datenbank-Benutzer,Ein Backup der Datenbank,Eine Struktur die die Organisation von Daten beschreibt,Ein Schema beschreibt die Struktur und die Organisation der Daten in einer Datenbank.
Datenbank,Was ist ein Composite Key?,Ein Schlüssel der aus mehr als einer Spalte besteht,Ein Schlüssel der aus einer einzigen Spalte besteht,Ein temporärer Schlüssel,Ein Fremdschlüssel,Ein Schlüssel der aus mehr als einer Spalte besteht,Ein Composite Key ist ein Schlüssel der aus mehr als einer Spalte besteht und zur eindeutigen Identifizierung eines Datensatzes verwendet wird.
Datenbank,Was ist ein Cursor in SQL?,Ein Mechanismus zum Durchlaufen von Datensätzen,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein Mechanismus zum Durchlaufen von Datensätzen,Ein Cursor ist ein Mechanismus in SQL der verwendet wird um Datensätze einer Abfrage einzeln zu durchlaufen.
Datenbank,Was bedeutet die Abkürzung XML?,Extensible Markup Language,Executable Markup Language,Extended Markup Language,Exponential Markup Language,Extensible Markup Language,XML steht für Extensible Markup Language und wird verwendet um strukturierte Daten zu speichern und zu transportieren.
Datenbank,Was ist ein Sekundärindex?,Ein zusätzlicher Index der nicht der Primärindex ist,Der Primärindex,Ein Fremdschlüssel,Ein temporärer Index,Ein zusätzlicher Index der nicht der Primärindex ist,Ein Sekundärindex ist ein zusätzlicher Index der zur Indizierung und zum schnellen Zugriff auf Daten verwendet wird aber nicht der Primärindex ist.
Datenbank,Was ist ein Clustered Index?,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Index der keine physische Reihenfolge hat,Ein temporärer Index,Ein zusätzlicher Datensatz,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Clustered Index bestimmt die physische Reihenfolge der Daten in der Tabelle und ist in der Regel der Primärschlüssel.
Datenbank,Was ist eine Datenbanktransaktion?,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine Datenbanktransaktion ist eine Abfolge von Operationen die entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was ist eine Datenbankansicht?,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine permanente Tabelle,Ein temporärer Datensatz,Eine zusätzliche Datenbank,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine Datenbankansicht ist eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert und keine eigenen Daten speichert.
Datenbank,Was ist ein Trigger in einer Datenbank?,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein Trigger ist ein gespeichertes SQL-Skript das automatisch ausgeführt wird wenn bestimmte Ereignisse in der Datenbank eintreten.
Datenbank,Was ist ein Datenbank-Snapshot?,Ein Abbild des aktuellen Zustands der Datenbank,Ein Backup der Datenbank,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Abbild des aktuellen Zustands der Datenbank,Ein Datenbank-Snapshot ist ein Abbild des aktuellen Zustands der Datenbank zu einem bestimmten Zeitpunkt.
Datenbank,Was ist eine Transaktion in einer Datenbank?,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine Transaktion ist eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet und entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was bedeutet die Abkürzung OLAP?,Online Analytical Processing,Online Access Processing,Online Active Processing,Online Analysis Processing,Online Analytical Processing,OLAP steht für Online Analytical Processing und bezeichnet Systeme zur Unterstützung von Analyse- und Abfragevorgängen.
Datenbank,Was ist ein Unique Constraint?,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte NULL sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte identisch sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte gleich sind,Ein Zwang der sicherstellt dass alle Werte in einer Spalte einzigartig sind,Ein Unique Constraint stellt sicher dass alle Werte in einer bestimmten Spalte oder einer Kombination von Spalten einzigartig sind.
Datenbank,Welche Art von Datenbank ist relational?,Hirarchisch,Netzwerk,Objektorientiert,Tabellenbasiert,Tabellenbasiert,Relationale Datenbanken speichern Daten in Tabellen mit vordefinierten Beziehungen.
Datenbank,Was ist ein SQL JOIN?,Eine Operation die zwei oder mehr Tabellen verbindet,Eine Einschränkung für eine Spalte,Ein Datentyp,Eine spezielle Funktion,Eine Operation die zwei oder mehr Tabellen verbindet,SQL JOIN wird verwendet um Daten aus mehreren Tabellen basierend auf einer gemeinsamen Spalte zu kombinieren.
Datenbank,Welches SQL-Kommando wird verwendet um Daten zu ändern?,INSERT,UPDATE,SELECT,DELETE,UPDATE,UPDATE wird verwendet um vorhandene Datensätze in einer Tabelle zu ändern.
Datenbank,Welches SQL-Kommando wird verwendet um Daten einzufügen?,INSERT,UPDATE,SELECT,DELETE,INSERT,INSERT wird verwendet um neue Datensätze in eine Tabelle einzufügen.
Datenbank,Was bedeutet der Begriff "Primary Key" in einer Datenbank?,Eine eindeutige Spalte die Datensätze identifiziert,Eine Option für die Konfiguration von Servern,Ein spezieller Datenbankadministrator,Ein Index für schnellen Datenzugriff,Eine eindeutige Spalte die Datensätze identifiziert,Der Primary Key identifiziert eindeutig jeden Datensatz in einer Tabelle.
Datenbank,Welches SQL-Kommando wird verwendet um Daten abzurufen?,INSERT,UPDATE,SELECT,DELETE,SELECT,SELECT wird verwendet um Daten aus einer Datenbank abzurufen.
Datenbank,Welches SQL-Kommando wird verwendet um Daten zu löschen?,INSERT,UPDATE,SELECT,DELETE,DELETE,DELETE wird verwendet um Datensätze aus einer Tabelle zu löschen.
Datenbank,Welches SQL-Kommando wird verwendet um eine Datenbank zu erstellen?,CREATE,ALTER,DROP,SELECT,CREATE,CREATE wird verwendet um eine neue Datenbank zu erstellen.
Datenbank,Was ist ein Index in einer Datenbank?,Eine Datenbanktabelle,Eine Tabelle für die Suche,Ein Verzeichnis für Datensätze,Ein Mechanismus für schnellen Datenzugriff,Ein Mechanismus für schnellen Datenzugriff,Indizes verbessern die Abfrageleistung indem sie den schnellen Zugriff auf Datensätze ermöglichen.
Datenbank,Welches SQL-Kommando wird verwendet um eine Tabelle zu ändern?,CREATE,ALTER,DROP,SELECT,ALTER,ALTER wird verwendet um eine vorhandene Tabelle zu ändern.
Datenbank,Welche Art von Beziehung wird in einer relationalen Datenbank durch Fremdschlüssel definiert?,Eins-zu-eins,Eins-zu-viele,Viele-zu-viele,Keine der oben genannten,Eins-zu-viele,Ein Fremdschlüssel in einer relationalen Datenbank definiert eine Beziehung zwischen zwei Tabellen wobei eine Tabelle Zeilen enthält die auf Zeilen in einer anderen Tabelle verweisen.
Datenbank,Was bedeutet die Abkürzung CRUD in Bezug auf Datenbankoperationen?,Create Read Update Delete,Create Replace Update Delete,Create Read Undo Delete,Create Read Update Delete,Create Read Update Delete,CRUD steht für Create Read Update Delete - die grundlegenden Operationen für die Verwaltung von Daten in einer Datenbank.
Datenbank,Welche Art von Datenbank ist MongoDB?,Relationale Datenbank,Dokumentenorientierte Datenbank,Objektorientierte Datenbank,Graphenbasierte Datenbank,Dokumentenorientierte Datenbank,MongoDB ist eine dokumentenorientierte NoSQL-Datenbank.
Datenbank,Was bedeutet "Normalization" in Bezug auf Datenbanken?,Das Hinzufügen von Daten,Umstrukturierung von Daten zur Minimierung von Redundanz und Abhängigkeiten,Das Löschen von Daten,Eine spezielle SQL-Operation,Umstrukturierung von Daten zur Minimierung von Redundanz und Abhängigkeiten,Normalization ist der Prozess der Organisation von Daten in einer Datenbank um Redundanz und Abhängigkeiten zu minimieren.
Datenbank,Welche Art von Schlüssel ist in einer Datenbank eindeutig für jede Zeile?,Primärschlüssel,Sekundärschlüssel,Externer Schlüssel,Indexschlüssel,Primärschlüssel,Der Primärschlüssel identifiziert eindeutig jede Zeile in einer Tabelle.
Datenbank,Welches SQL-Kommando wird verwendet um eine Tabelle zu löschen?,CREATE,ALTER,DROP,SELECT,DROP,DROP wird verwendet um eine vorhandene Tabelle in einer Datenbank zu löschen.
Datenbank,Welches SQL-Kommando wird verwendet um eine Datenbank zu löschen?,CREATE,ALTER,DROP,SELECT,DROP,DROP wird verwendet um eine vorhandene Datenbank zu löschen.
Datenbank,Welche Art von Datenbank wird oft für große Datenmengen und komplexe Abfragen verwendet?,Relationale Datenbank,Dokumentenorientierte Datenbank,Objektorientierte Datenbank,Graphenbasierte Datenbank,Relationale Datenbank,Relationale Datenbanken sind für komplexe Abfragen und große Datenmengen gut geeignet.
Datenbank,Welches SQL-Kommando wird verwendet um eine Tabelle umzubenennen?,RENAME,ALTER,DROP,SELECT,RENAME,RENAME wird verwendet um den Namen einer vorhandenen Tabelle in einer Datenbank zu ändern.
Datenbank,Was ist ein SQL-View?,Eine virtuelle Tabelle,Ein spezieller Datentyp,Eine Netzwerkkonfiguration,Ein Index, Eine virtuelle Tabelle,Ein SQL-View ist eine virtuelle Tabelle die aus einer oder mehreren Tabellen in einer Datenbank abgeleitet wird.
Datenbank,Was ist eine Transaktion in einer Datenbank?,Eine Gruppe von SQL-Befehlen,Eine Abfrage zum Abfragen von Daten,Ein Netzwerkprotokoll,Eine atomare Operation,Eine Gruppe von SQL-Befehlen,In einer Datenbank ist eine Transaktion eine atomare Operation die aus einer Gruppe von SQL-Befehlen besteht.
Datenbank,Welche Art von Datenbank ist Oracle Database?,Relationale Datenbank,Dokumentenorientierte Datenbank,Objektorientierte Datenbank,Graphenbasierte Datenbank,Relationale Datenbank,Oracle Database ist eine bekannte relationale Datenbank.
Datenbank,Was bedeutet der Begriff "Trigger" in Bezug auf Datenbanken?,Ein spezieller SQL-Befehl,Eine Hardwarekomponente,Ein Netzwerkgerät,Ein spezieller Datenbankmechanismus,Ein spezieller Datenbankmechanismus,In einer Datenbank ist ein Trigger ein spezieller Mechanismus der automatisch ausgeführt wird wenn eine bestimmte Operation durchgeführt wird.
Datenbank,Welches SQL-Kommando wird verwendet um einen neuen Index zu erstellen?,CREATE,ALTER,DROP,INDEX,CREATE,CREATE wird verwendet um einen neuen Index für schnellen Zugriff auf Daten in einer Datenbank zu erstellen.
Datenbank,Was ist eine Datenbanktransaktion?,Eine Abfrage zum Abfragen von Daten,Eine Sammlung von Tabellen,Eine Operation zur Speicherung von Daten,Eine atomare Operation,Eine atomare Operation,In einer Datenbank ist eine Transaktion eine atomare Operation die entweder vollständig ausgeführt oder rückgängig gemacht wird.
Datenbank,Welche Art von Datenbank ist Microsoft SQL Server?,Relationale Datenbank,Dokumentenorientierte Datenbank,Objektorientierte Datenbank,Graphenbasierte Datenbank,Relationale Datenbank,Microsoft SQL Server ist eine bekannte relationale Datenbank.
Datenbank,Was bedeutet der Begriff "DBMS"?,Database Management System,Data Buffer Management System,Data Base Maintenance System,Data Backup Management System,Database Management System,DBMS (Database Management System) verwaltet eine Daten
Programmierung,Was ist der Zweck einer Schleife in der Programmierung?,Wiederholung von Anweisungen,Definition von Variablen,Initialisierung von Arrays,Verzweigung von Bedingungen,Wiederholung von Anweisungen,Eine Schleife wird verwendet um eine Gruppe von Anweisungen wiederholt auszuführen basierend auf einer Bedingung.
Programmierung,Welche Art von Schleife wird verwendet wenn die Anzahl der Iterationen im Voraus bekannt ist?,For-Schleife,While-Schleife,Do-While-Schleife,If-Else-Schleife,For-Schleife,Eine For-Schleife wird verwendet wenn die Anzahl der Iterationen im Voraus bekannt oder definiert ist.
Programmierung,Was ist der Hauptzweck der Bedingungsanweisung (if-else) in der Programmierung?,Verzweigung von Anweisungen,Wiederholung von Anweisungen,Initialisierung von Variablen,Definition von Funktionen,Verzweigung von Anweisungen,Die Bedingungsanweisung wird verwendet um den Fluss des Programms basierend auf einer Bedingung zu verzweigen.
Programmierung,Welche der folgenden Variablenarten speichert mehrere Werte?,Integer,Boolean,String,Array,Array,Arrays speichern mehrere Werte desselben Datentyps in einer einzigen Variablen.
Programmierung,Wie deklariert man eine Variable in Pseudocode?,SET var TO value,DEFINE var AS type,DECLARE var = value,CREATE var,DEFINE var AS type,In Pseudocode wird eine Variable mit "DEFINE var AS type" deklariert wobei "var" der Name der Variablen und "type" der Datentyp ist.
Programmierung,Was bedeutet "rekursive Funktion" in der Programmierung?,Eine Funktion die sich selbst aufruft,Eine Funktion mit einer Rückgabeanweisung,Eine Funktion mit vielen Parametern,Eine Funktion ohne Rückgabewert,Eine Funktion die sich selbst aufruft,Eine rekursive Funktion ist eine Funktion die sich selbst aufruft um eine Lösung zu erreichen.
Programmierung,Welche Art von Variable speichert Wahrheitswerte (true/false)?,Integer,String,Boolean,Array,Boolean,Boolean speichert Wahrheitswerte wie true oder false.
Programmierung,Wie beendet man eine Schleife vorzeitig in Pseudocode?,BREAK,CONTINUE,EXIT,END,BREAK,Um eine Schleife vorzeitig zu beenden wird in Pseudocode "BREAK" verwendet.
Programmierung,Wie führt man eine Funktion in Pseudocode aus?,EXECUTE function(),CALL function(),RUN function(),START function(),CALL function(),In Pseudocode wird eine Funktion mit "CALL function()" oder einfach "function()" ausgeführt.
Programmierung,Was ist eine Funktion in der Programmierung?,Ein Wert,Eine Anweisung,Ein Ausdruck,Ein Unterprogramm,Ein Unterprogramm,Eine Funktion ist ein Unterprogramm oder eine Routine die eine bestimmte Aufgabe ausführt.
Programmierung,Was bedeutet "Kompilierung" in der Programmierung?,Das Ausführen eines Programms,Die Umwandlung von Quellcode in Maschinencode,Die Überprüfung der Syntax eines Programms,Die Ausgabe eines Programms,Die Umwandlung von Quellcode in Maschinencode,Kompilierung ist der Prozess bei dem Quellcode in Maschinencode übersetzt wird.
Programmierung,Welche Art von Sprache ist Pseudocode?,Eine formale Programmiersprache,Eine reale Programmiersprache,Eine spezifische Programmiersprache,Eine informelle Darstellung einer Programmidee,Eine informelle Darstellung einer Programmidee,Pseudocode ist eine informelle Darstellung einer Programmidee oder -logik.
Programmierung,Was bedeutet "Initialisierung einer Variablen" in der Programmierung?,Das Löschen eines Variablenwerts,Die Festlegung eines Standardwerts für eine Variable,Die Deklaration einer Variablen,Das Speichern einer Variablen,Die Festlegung eines Standardwerts für eine Variable,Die Initialisierung einer Variablen bedeutet einen Anfangswert für eine Variable festzulegen.
Programmierung,Was ist ein "Algorithmus" in der Programmierung?,Eine Sequenz von Anweisungen zur Lösung eines Problems,Ein komplexer Code,Ausdruck in einer Programmiersprache,Eine Funktion die Zahlen addiert,Eine Sequenz von Anweisungen zur Lösung eines Problems,In der Programmierung ist ein Algorithmus eine Reihe von Schritten oder Anweisungen die zur Lösung eines Problems ausgeführt werden.
Programmierung,Welche Art von Schleife wird verwendet wenn die Bedingung am Ende überprüft wird?,For-Schleife,While-Schleife,Do-While-Schleife,If-Else-Schleife,Do-While-Schleife,Eine Do-While-Schleife überprüft die Bedingung am Ende der Schleife und führt die Schleife mindestens einmal aus.
Programmierung,Wie wird eine For-Schleife in Pseudocode deklariert?,FOR variable = start TO end STEP step,WHILE condition DO,DO WHILE condition,REPEAT UNTIL condition,FOR variable = start TO end STEP step,Eine For-Schleife in Pseudocode wird mit "FOR variable = start TO end STEP step" deklariert wobei "variable" die Laufvariable "start" der Anfangswert "end" der Endwert und "step" der Inkrementwert ist.
Programmierung,Was ist eine "Variable" in der Programmierung?,Ein Wert,Eine Anweisung,Ein Ausdruck,Ein Speicherplatz zum Speichern von Daten,Ein Speicherplatz zum Speichern von Daten,In der Programmierung ist eine Variable ein Speicherplatz der verwendet wird um Daten zu speichern und zu manipulieren.
Programmierung,Wie wird eine While-Schleife in Pseudocode deklariert?,WHILE condition DO,FOR variable = start TO end STEP step,DO WHILE condition,REPEAT UNTIL condition,WHILE condition DO,Eine While-Schleife in Pseudocode wird mit "WHILE condition DO" deklariert wobei "condition" die Bedingung ist die überprüft wird um die Schleife auszuführen.
